Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Sin Título;Xxxx - Ene3 - Krone;Writing And Character - Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/06_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Mujeres All Stars;Mujeres All Stars;Muralismo - Graffiti;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/12%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Lagartija Bombillo;Irie;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/09_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
A Donde Vamos Bogotá;Larry Ledbetter;Stencil;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/06_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Habitantes Del Universo;Cervix;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 Con Calle 48 - 03 / Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/33_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Cybergraff;Firme;Ilustración / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/9_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Aero;Baing;Writing / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 6;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/04_CLL26_P6_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Luz;Andromeda Explorer;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/27_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Style Chrome;Riuk Uno;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Pulgas;Latir;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/23_CLL26_P1_C_PULGAS_LATIR_DAVID_PATARROYO.jpg;;
Sin Título;Ben2;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/28_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Escalera Al Progreso;Kops;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/01_CAT_KEPOS_VICTOR_CALIXTO.jpg;;
Fuego;Cancha;Ilustración;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_5_GARETH_SELLA.jpg;;
Por Debajo;Cisko;Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large.jpeg;;
Oliver;Anghello;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_17_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 14 - Punto 1 - Tramo 4;;https://idartesencasa.gov.co/sites/default/files/2023-12/08_KR14_P1_DRONE_FOTO_ALTA_JORGE_RAVELO.jpeg;;
Sin Título;Plom - Cos - Kazyus - Shok - Lapu - Yeso - Pemex;Writing Wild Style - Realismo - Writing And Character - Ilustración;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/17_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Aromáticas Sobre Piso De Abuela;Latir;Muralismo;Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro - Columnas;https://idartesencasa.gov.co/sites/default/files/2023-09/20_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Refugio;Nats Garu;Realismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte - Columnas;https://idartesencasa.gov.co/sites/default/files/2023-09/17_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Vida Y Agua;Kef;Writing;Aerosol;Carrera 13 - Punto 1;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/54_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Los Astros Anuncian;Raiz;Muralismo;Aerosol Y Vinilo;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/48_KRA13_P2_CATALOGO_FOTO_BAJA_GARETH_SELLA.jpg;;
Corazón;Equiz;Mural;Vinilo;Carrera 13 - Punto 3;Carrera 13 No. 13 - 84;https://idartesencasa.gov.co/sites/default/files/2023-10/67_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Susurros;Subo;Aerosol / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/20_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Distopiaz;Fique;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/6_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Musgo;Musgo;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/3_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Ilegales;Blito;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/2_CLL26_P1__C_ILEGALES_BLITO_DAVID_PATARROYOtif.jpg;;
Sedición;Plon;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/06_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Radar;Marcevil;Writing;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/39_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
La Riqueza Del Dorado;Rets;;;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12_CAT_P3_REIS_VICTOR_CALIXTO.jpg;;
Sin Título;Greñas;Muralismo;Vinilo Y Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 5;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_1_DIEGO_ANDRADE_.jpg;;
Musica;Oksir / Aela;Writing;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_6_DIEGO_ANDRADE%20Large.jpeg;;
Crimecity;Roto;Ilustración;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/07_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Pensamientos;Joma Bta;Ilustración;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/08_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large%20Large.jpeg;;
País Sin Memoria;Lesivo, Libardismos, Antisocial, La Bugambilia, Tozkuz, Hell Sain Cat;;;Calle 26 - Festival Periferia;Calle 26;https://idartesencasa.gov.co/sites/default/files/2023-12/1_CLL26_FAU_PERIFERIA_ENTREGAS_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Ensamble Joropo;Arto Arte;Mosaico Y Pintura Mural;Mosaico Y Pintura;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/2%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Época Dorada;Skida;;Aerosol Y Vinilo;Calle 80 - Beca Hap Gran Formato;Cra 54 # 79B - 40;https://idartesencasa.gov.co/sites/default/files/2023-09/04_CLL80_BECA_HAP_GRAN_FORMATO_FOTO_BAJA_JORGE_RAVELO.jpg;;
Parakeet;Nicolas Tovar;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/31_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Naturaleza Imparable;Skea91;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/24_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Dualidad;Ratsplat;Ilustración;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/09_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Los Astros Anuncian;Spoid72;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/64_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Acab;Nina Takin;;Aerosol / Vinilo;Calle 26 - Punto 1 - Tercera Maraton;Calle 26 Con Carrera 3 - Muro 2;https://idartesencasa.gov.co/sites/default/files/2023-10/5_CLL26_CAT_P8_ACAB_TAKIN_FOTOA_DAVID_PATARROYO.jpg;;
Movimiento Natural;Lala;Ilustración / Mural;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/32_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Las Calles Hablan;Vato;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/17_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Joems;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/15_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Poder Femenino;Uruz;Ilustración;Aerosol Y Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/13._CLL26_P1_C_PODER_FEMENINO_URUZ_DAVID_PATARROYO.jpg;;
Ata;Valkiria;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/17_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Freestyle;Guez;Writing;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/7_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Salvación;Lili Cuca;Muralismo E Lustración;Aerosol;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/07_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Bogotazo;Robs;Graffiti Y Writing;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_3_DAVID_PATARROYO.jpeg;;
Revolución Del Color;Akasha / Copek One / Fuego / Iracunda / Koes;Caracter / Writing;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7  - Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_14_DIEGO_ANDRADE%20Large.jpeg;;
Sin Miedo;Waira;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 10 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_16_VICTOR_CALIXTO%20Large.jpeg;;
Sin Título;Silver - Plasma - Zac - Dagz - Kandu;Writing - Ilustración - Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/07_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Mujeres All Stars;Mujeres All Stars;Muralismo - Graffiti;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/13%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Cosecha;Tinta Fuerte;Lettering;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/10_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Writing Light;Erho One;Writting Y Caracter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/07_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Habitantes Del Universo;Oscar Felipe Sandoval Gonzalez;Muralismo;Vinilo;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/34_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Resistencia Popular;Aputrefacto;Mural;Aerosol;Carrera 13 - Punto 3;Calle 20 No. 12 - 88;https://idartesencasa.gov.co/sites/default/files/2023-10/09_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Raices;Lil Dry;Ilustración;Aerosol;Carrera 13 - Punto 3;Carrera 13 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/56_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
La Vida Es Bella;Ceo51;Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/10_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Bacatá;Cuak;Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 6;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/05_CLL26_P6_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Desde El Pantano;Bufa 1;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/28_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Style Chrome;Sony One;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/27_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Persevera Y Lucha;Cam, Ches;Writing;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/24__CLL26_P1_C_%20PERSEVERA_Y_LUCHA_CAM_CHANCHI_CHES_DAVID_PATARROYO.jpg;;
Museo De Memorias;Ceos;Writing E Ilustración;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/29_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Bachueé;Chambón;Muralismo;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/02_CLL26_CAT_P3_CHAMBON_VICTOR_CALIXTO.jpg;;
Graffiti Life;Juda;Graffiti Y Writing;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_5_GARETH_SELLA.jpg;;
Salvajismo;Skida;Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/07_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large.jpeg;;
Storm;Storm;Graffiti Y Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_17_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 14 - Punto 1 - Tramo 4;;https://idartesencasa.gov.co/sites/default/files/2023-12/10_KR14_P1_DRONE_FOTO_ALTA_JORGE_RAVELO.jpeg;;
Sin Título;Wiest - Dom - Oksir - Wawa - Creock - Fco;Writing - Ilustración - Writing - Realismo - Writing 3D - Ilustración;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/18_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Kathersium;Wosnan;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro - Columnas;https://idartesencasa.gov.co/sites/default/files/2023-09/21_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
No Borders;Dolor 87;Stencil;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte - Columnas;https://idartesencasa.gov.co/sites/default/files/2023-09/18_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Vida Y Agua;Kef;Writing;Aerosol;Carrera 13 - Punto 1;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/55_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Los Astros Anuncian;Mentor;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/49_KRA13_P2_CATALOGO_FOTO_BAJA_GARETH_SELLA.jpg;;
Backdays;York;Aerosol / Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/21_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Desraizado;Salo Asko;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/7_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Violeta Salvaje;Esbinote;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/4_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Ayauma;El Setaz;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/3_CLL26_P1_C_AYAUMA_SETAZ_JUN_DAVID_PATARROYO..jpg;;
Humo Protesta;Zney;Writing;Aerosol Y Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/07_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Fluyo Como El Río, Como Este Río De Mujeres;Gallinas;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/40_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
“Esto Es Colombia”;Arpia;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/13_CAT_P3_ARPIA.BTA_VICTOR_CALIXTO..jpg;;
La Casa Al Hombro;Alice Blue;Ilustración  Y Graffiti;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 3;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_2_DAVID_PATARROYO.jpg;;
Violetta ( Sección Superior) / Letras Y Estructura ( Sección Inferior);Liza / Sars;Caracter / Writing;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_6_DIEGO_ANDRADE%20Large.jpeg;;
Cybermapache;Pesta;Stencil Y Muralismo;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/08_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Rolo;Ucer Art;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/09_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large%20Large.jpg;;
Sin Título;Nandy Mondragón;Mural;Aerosol;Calle 26 - Festival Periferia;Calle 26;https://idartesencasa.gov.co/sites/default/files/2023-12/3_CLL26_FAU_PERIFERIA_ENTREGAS_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Entre Llanos Y Coordileras;Dows;Muralismo;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/3%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Parcharte Por La 80;Jotados;;Aerosol Y Vinilo;Calle 80 - Beca Hap Gran Formato;Cra 54 # 79 B 61;https://idartesencasa.gov.co/sites/default/files/2023-09/03_CLL80_BECA_HAP_GRAN_FORMATO_FOTO_BAJA_DIEGO_ANDRADE_0.jpg;;
Naturaleza Salvaje;Chyp;Writting Y Carácter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/32_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Naturaleza Imparable;Greizabta;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/23_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Habitantes Del Universo;Siete - Greiza - Mark- Cristhian Camilo Hernandez Guzman;Writting, Ilustración Y Muralismo;Aerosol Y Vinilo;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/10_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Los Astros Anuncian;Blank;Ilustración;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/65_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Sin Título;Sagara;;Aerosol / Vinilo;Calle 26 - Punto 1 - Tercera Maraton;Calle 26 Con Carrera 3 - Muro 2;https://idartesencasa.gov.co/sites/default/files/2023-10/6_CLL26_CAT_P8_JUSTICIA_ANIMAL_SAGARA_FOTOA_DAVID_PATARROYO.jpg;;
Silverone, Haze;Rial, Haze;Ilustración / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/33-34_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Cuidadoras;Yenny Bedoya;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/18_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Masnah;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/16_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Echeverri;Greñas;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/14_CLL26_P1_C_ECHEVERRI_GREN%CC%83AS_DAVID_PATARROYO.jpg;;
En Busca Del Dorado;Croes;Ilustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/18_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
El Disfrute De La 26;Prisma;Muralismo E Lustración;Vinilo;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/8_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Sarcasmo;Gris One;Muralismo E Lustración;Mixta;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/08_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Calle Real;3 Miro;Ilustración;Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_3_DAVID_PATARROYO.jpg;;
